Entity,Christians,Muslims,Unaffiliated,Hindus,Buddhists,folkReligions,otherReligions,Jews,Population,Temperature,GII,HDI,POL,INTERNET,PRECIPITATION
Bahrain,0.13214481309584464,0.6533826869738985,0.014682757010649404,0.08809654206389642,0.022024135515974104,0.003670689252662351,0.003670689252662351,0.003670689252662351,1362142,26.8,0.233,0.832,0.0,0.9588,83.0
United Arab Emirates,0.10541781397322096,0.6482074093246991,0.010093194954882858,0.05495183919880667,0.01682199159147143,0.0005607330530490477,0.006728796636588572,0.0005607330530490477,8916899,26.65,0.23199999,0.86,0.0,0.9482,78.0
Chad,0.3224831428301884,0.4391711221437435,0.019801596489572974,0.00035359993731380314,0.00035359993731380314,0.0113151979940417,0.0014143997492552126,0.00035359993731380314,14140274,26.55,0.69499999,0.407,0.25,0.065,322.0
Singapore,0.16283133965236926,0.12920312820242344,0.14690218686028964,0.04601755251045218,0.30619371478108565,0.021238870389439467,0.08672538742354449,0.0008849529328933112,5650018,26.45,0.068000004,0.929,0.25,0.8445,2497.0
Thailand,0.00853553093285657,0.05363158602811544,0.0027029181287379135,0.0009958119421665996,0.9164315044910336,0.0008535530932856569,7.11294244404714e-05,7.11294244404714e-05,70294397,26.3,0.366,0.741,0.0,0.5289,1622.0
Sierra Leone,0.16815285997255144,0.6261301615238094,0.0006835482112705343,0.0006835482112705343,0.0006835482112705343,0.006835482112705343,0.0006835482112705343,0.0006835482112705343,7314773,26.05,0.64999998,0.413,0.5,0.1324,2526.0
Barbados,0.9349726520499275,0.017980243308652454,0.017980243308652454,0.017980243308652454,0.017980243308652454,0.017980243308652454,0.017980243308652454,0.017980243308652454,278083,26.0,0.29100001,0.797,0.75,0.8176,1422.0
Guyana,0.6622244649557435,0.06622244649557435,0.01324448929911487,0.25164529668318253,0.006622244649557435,0.006622244649557435,0.006622244649557435,0.006622244649557435,755031,26.0,0.50800002,0.651,0.5,0.3733,2387.0
Indonesia,0.09131892431865024,0.8071265195907075,0.000926311996469825,0.015631514940428297,0.006638569308033746,0.002894724988968203,0.0013122753283322521,1.9298166593121355e-05,259091970,25.85,0.46700001,0.686,0.5,0.3229,2702.0
Trinidad and Tobago,0.6026666630141414,0.05478787845583104,0.02054545442093664,0.2054545442093664,0.00342424240348944,0.02054545442093664,0.01369696961395776,0.00342424240348944,1460177,25.75,0.324,0.783,0.75,0.7733,2200.0
Suriname,0.46917763586602373,0.13901559581215517,0.05213084842955819,0.17376949476519396,0.008688474738259698,0.05213084842955819,0.008688474738259698,0.008688474738259698,575475,25.7,0.44800001,0.722,0.5,0.4895,2331.0
Oman,0.042941225867031065,0.5701640545678013,0.0011928118296397516,0.03578435488919255,0.004771247318559007,0.0011928118296397516,0.007156870977838511,0.0011928118296397516,4191776,25.6,0.28099999,0.822,0.0,0.8019,125.0
Philippines,0.8382884182889356,0.049984778906889175,0.0008735204080815585,4.852891156008658e-05,0.0007764625849613853,0.013879268706184762,0.0012617517005622512,4.852891156008658e-05,103031365,25.55,0.43599999,0.693,0.5,0.6005,2348.0
