Entity,Christians,Muslims,Unaffiliated,Hindus,Buddhists,folkReligions,otherReligions,Jews,Population,Temperature
Bulgaria,6150000,1020000,310000,5000,5000,5000,5000,5000,7309253,10.55
New Zealand,2490000,50000,1600000,90000,70000,20000,30000,5000,4590590,10.55
Serbia,7490000,330000,260000,5000,5000,5000,5000,5000,7519496,10.55
Turkey,320000,71330000,860000,5000,40000,20000,150000,20000,79646178,9.9
Bosnia and Herzegovina,1970000,1700000,90000,5000,5000,5000,5000,5000,3524324,9.85
Hungary,8090000,5000,1860000,5000,5000,5000,5000,10000,9844246,9.75
Belgium,6880000,630000,3110000,5000,30000,20000,10000,30000,11248303,9.55
Moldova,3480000,20000,50000,5000,5000,5000,5000,20000,3277388,9.45
Ireland,4110000,50000,280000,10000,5000,5000,5000,5000,4665760,9.3
Netherlands,8410000,1000000,6990000,80000,40000,30000,30000,30000,17041107,9.25
Slovenia,1590000,70000,370000,5000,5000,5000,5000,5000,2080862,8.9
Romania,21380000,70000,20000,5000,5000,5000,5000,5000,19906079,8.8
Luxembourg,360000,10000,140000,5000,5000,5000,5000,5000,569408,8.65
United States,243060000,2770000,50980000,1790000,3570000,630000,1900000,5690000,324607776,8.55
United Kingdom,39890000,2960000,17220000,890000,280000,60000,460000,290000,65224364,8.45
Chile,15300000,5000,1470000,5000,10000,260000,30000,20000,17870124,8.45
Germany,56540000,4760000,20350000,80000,210000,40000,100000,230000,82073226,8.4
Ukraine,38100000,560000,6690000,10000,20000,5000,5000,50000,44982564,8.3
Nepal,140000,1370000,80000,24170000,3080000,1100000,20000,5000,27610325,8.1
Poland,36100000,5000,2150000,5000,5000,5000,5000,10000,38553146,7.85
Andorra,70000,5000,5000,5000,5000,5000,5000,5000,71746,7.6
Czech Republic,2450000,5000,8020000,5000,5000,5000,5000,5000,10523798,7.55
China,68410000,24690000,700680000,20000,244110000,294300000,9080000,5000,1393715448,7.5
Bhutan,5000,5000,5000,160000,540000,10000,5000,5000,743274,7.4
Armenia,3050000,5000,40000,5000,5000,5000,5000,5000,2878595,7.15
